InChI,Pos10V,Pos20V,Pos40V,Neg10V,Neg20V,Neg40V
"InChI=1S/C3H3N/c1-2-3-4/h2H,1H2","25.00727645 0.6820158168
26.00252542 0.5641126731
27.02292652 3.190487959
28.01817548 0.3410086988
54.03382555 95.22237485","25.00727645 0.6959321873
26.00252542 1.582622917
27.02292652 3.259353115
28.01817548 1.007862392
54.03382555 93.45422939","25.00727645 8.271866732
26.00252542 6.030631351
27.02292652 42.94046867
28.01817548 2.25414627
54.03382555 40.50288698","25.00837361 0.8808232245
26.00362258 2.596613182
52.01927264 96.52256359","25.00837361 0.9398431783
26.00362258 3.522929405
52.01927264 95.53722742","25.00837361 9.827948404
26.00362258 5.993753747
52.01927264 84.17829785"
"InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2","25.00727645 1.939049381
27.02292652 1.184273046
29.03857658 0.3704916926
39.02292652 37.02976951
41.00219107 0.6509118848
57.0334912 58.33360915","25.00727645 3.8615026
27.02292652 3.059857304
29.03857658 0.8078266725
39.02292652 43.04897763
41.00219107 4.093759669
57.0334912 44.80119322","25.00727645 7.857219872
27.02292652 1.835428223
29.03857658 1.270249754
39.02292652 77.52030004
41.00219107 4.537414417
57.0334912 4.931062324","25.00837361 1.476509635
27.02402368 0.05213236352
29.00328823 1.721971315
55.0189383 96.74938669","25.00837361 7.367440038
27.02402368 0.3570712979
29.00328823 2.806330918
55.0189383 89.46915775","25.00837361 4.23110352
27.02402368 0.9476849516
29.00328823 17.76308875
55.0189383 77.05812278"
"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2","15.02292652 0.2615112368
25.00727645 1.247325897
27.02292652 2.285803897
29.03857658 1.396053123
39.02292652 21.0562116
57.0334912 73.2270497","25.00727645 0.5892696992
27.02292652 4.530318261
29.03857658 3.589827292
39.02292652 32.11946695
41.00219107 2.32443522
57.0334912 56.15249757","25.00727645 5.038056842
27.02292652 13.7079199
29.03857658 3.202138092
39.02292652 57.49814351
41.00219107 4.708087904
57.0334912 12.28874463","25.00837361 0.1298260921
27.02402368 1.468032726
29.00328823 2.394925737
55.0189383 96.00721545","25.00837361 1.554301323
27.02402368 7.396795271
29.00328823 1.099761507
55.0189383 89.9491419","25.00837361 6.08206476
27.02402368 4.572717363
29.00328823 3.725968944
55.0189383 85.61924893"
"InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3","28.03075155 0.5443135213
30.04640161 0.8257502002
31.05422664 0.3010335459
42.04640161 0.7683395983
43.05422664 0.4158447616
58.07770174 96.57803132","28.03075155 0.5311070329
29.03857658 0.4350476518
30.04640161 0.3441270668
42.04640161 4.814499725
43.05422664 1.863881055
58.07770174 91.45930812","28.03075155 2.451511537
29.03857658 2.14994291
30.04640161 2.084780322
42.04640161 29.54029538
43.05422664 30.49029357
58.07770174 26.96845602","15.02402368 0.02993124526
25.00837361 0.0002383420583
27.02402368 0.03302496924
29.03967374 0.0819926508
41.03967374 0.2100234021
56.06314884 99.64478939","15.02402368 0.3699979467
25.00837361 0.001180508348
27.02402368 0.352511219
29.03967374 0.3746320891
41.03967374 0.6610772787
56.06314884 98.24060096","15.02402368 1.117793619
25.00837361 0.2768671497
27.02402368 1.205184923
29.03967374 0.3885182746
41.03967374 28.36003447
56.06314884 68.65160157"
InChI=1S/C2H2O2/c3-1-2-4/h1-2H,"29.00219107 1.353435216
31.01784114 0.4293234182
41.00219107 4.328447508
59.01275576 93.88879386","29.00219107 2.629911531
31.01784114 1.487708337
41.00219107 20.01034135
59.01275576 75.87203878","29.00219107 14.71153061
31.01784114 2.462017071
41.00219107 56.18082921
59.01275576 26.64562311","29.00328823 4.425115133
56.99820285 95.57488487","29.00328823 5.213257849
56.99820285 94.78674215","29.00328823 6.964048217
56.99820285 93.03595178"
InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"15.02292652 0.6393784267
17.03857658 1.346905504
19.01784114 0.345369425
41.03857658 11.88935468
43.01784114 1.018817937
59.04914126 84.6352621","15.02292652 0.1032203939
17.03857658 0.1804152991
19.01784114 7.269748755
41.03857658 17.90513652
43.01784114 0.5140072251
59.04914126 73.98015666","15.02292652 4.994923298
17.03857658 0.9104509333
25.00727645 11.76916069
41.03857658 70.81951496
43.01784114 4.72653708
59.04914126 6.630721852","15.02402368 0.4701299639
17.00328823 0.1120479131
39.02402368 1.618221451
41.00328823 1.172041859
57.03458836 96.62755881","15.02402368 0.9650096962
17.00328823 0.6016312639
39.02402368 3.260289794
41.00328823 1.429387156
57.03458836 93.74368209","15.02402368 1.420644067
17.00328823 0.2404061527
39.02402368 14.29333231
41.00328823 15.61982135
57.03458836 68.42579612"
"InChI=1S/C3H6O/c1-2-3-4/h2,4H,1,3H2","25.00727645 0.8302081237
27.02292652 2.23829668
29.03857658 0.9695591898
41.03857658 47.46637737
43.01784114 1.029421798
59.04914126 45.90919678","25.00727645 0.7289521038
27.02292652 2.596363737
29.03857658 1.6652136
41.03857658 64.15071135
43.01784114 5.747766684
59.04914126 23.75121808","15.02292652 3.829219786
25.00727645 22.23194071
27.02292652 3.39671455
29.03857658 1.13602376
41.03857658 63.265365
43.01784114 3.732437622","17.00328823 1.253034332
27.02402368 2.210419943
29.00328823 0.5657768569
31.0189383 0.6868939096
39.02402368 11.21196807
57.03458836 83.10085772","17.00328823 3.414765574
27.02402368 2.117004896
29.00328823 0.8824024934
39.02402368 25.40987568
41.00328823 1.105975559
57.03458836 65.73386533","15.02402368 1.907974478
17.00328823 4.007710844
29.00328823 2.472789873
39.02402368 54.82432994
41.00328823 9.196127913
57.03458836 25.17273723"
InChI=1S/CHNS/c2-1-3/h3H,"26.00252542 0.9236973755
59.99024648 99.07630262","26.00252542 10.17204219
59.99024648 89.82795781","26.00252542 14.37176005
59.99024648 85.62823995",57.97569358 100,57.97569358 100,57.97569358 100
InChI=1S/CHNS/c2-1-3/h2H,"26.00252542 1.197757622
59.99024648 98.80224238","26.00252542 6.001985272
59.99024648 93.99801473","26.00252542 43.78893704
59.99024648 56.21106296",57.97569358 100,57.97569358 100,57.97569358 100
"InChI=1S/C2H5NO/c1-2(3)4/h1H3,(H2,3,4)","15.02292652 5.011742491
17.03857658 1.372257109
18.03382555 0.9507470253
42.03382555 4.841335666
43.01784114 10.86038615
60.04439023 75.26357703","15.02292652 1.274743835
18.03382555 0.9797329095
42.03382555 15.42314497
43.01784114 10.35330608
44.0130901 1.381149068
60.04439023 69.33881883","15.02292652 15.76420272
25.00727645 9.853635501
42.03382555 32.14466111
43.01784114 11.67181011
44.0130901 6.760915951
60.04439023 18.38135467","15.02402368 0.3371597349
17.00328823 1.943505167
40.01927264 7.853392523
41.00328823 1.179311555
41.9985372 2.590999322
58.02983733 85.76143782","16.01927264 4.686971483
17.00328823 1.15663709
40.01927264 15.90166204
41.00328823 2.339030428
41.9985372 5.33473747
58.02983733 69.78566482","15.02402368 0.2468919677
16.01927264 0.7393554203
40.01927264 10.2920917
41.00328823 3.21768956
41.9985372 71.81245321
58.02983733 13.53824312"
